Type,Date,Price,Position_Size,Capital,Trailing_Stop,ATR,Profit,Exit_Reason
Buy,2024-04-23 19:00:00,154.821,2023.0268461028227,156603.51967024256,150.17637,0.10472649560262395,,
Sell,2024-04-26 08:00:00,156.559,,160119.54032876928,,,3516.0206585267047,Excessive Volatility
Buy,2024-04-29 12:00:00,156.415,2047.3680954993995,160119.54032876928,151.72254999999998,0.800930658594062,,
Sell,2024-04-29 19:00:00,156.037,,159345.63518867054,,,-773.9051400987441,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2024-05-08 15:00:00,155.424,2050.4637017277964,159345.63518867054,150.76128,0.18369857644110027,,
Sell,2024-05-15 13:00:00,155.738,,159989.48079101305,,,643.8456023425136,Short MA Crossed Below Medium MA
Buy,2024-05-23 03:00:00,156.758,2041.2289106905298,159989.48079101305,152.05526,0.12567798414226622,,
Sell,2024-05-27 14:00:00,156.722,,159915.99655022818,,,-73.48424078486185,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2024-06-11 03:00:00,157.217,2034.334665465289,159915.99655022818,152.50049,0.14334624746202307,,
Sell,2024-06-12 15:00:00,155.881,,157198.12543716654,,,-2717.871113061652,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2024-06-21 03:00:00,158.886,1978.7536401843654,157198.12543716654,154.11942,0.13095234092606306,,
Sell,2024-07-04 09:00:00,161.253,,161881.83530348292,,,4683.709866316373,Short MA Crossed Below Medium MA
Buy,2024-07-10 00:00:00,161.466,2005.150747568936,161881.83530348292,156.62202,0.13465673630515165,,
Sell,2024-07-11 12:00:00,158.638,,156211.26898935795,,,-5670.566314124957,Excessive Volatility (Triggered Trading Halt)
